ap_Age,ap_Education,ap_YearsOfExperience,ap_TechnicalScore,ap_InterviewScore,ap_PreviouEmployment,em_Age,em_Education,em_YearsOfExperience,em_TechnicalScore,em_InterviewScore,em_PreviouEmployment,Suitable
25,3,6,30,9,Yes,53,3,20,16,4,Yes,No
30,3,12,30,4,No,37,2,2,36,8,Yes,No
32,3,10,40,8,Yes,59,1,33,28,7,Yes,No
45,3,9,30,3,Yes,18,2,26,89,4,Yes,No
38,5,19,40,5,Yes,25,1,24,17,1,Yes,No
30,3,5,30,8,Yes,23,3,8,96,4,Yes,No
32,2,9,30,6,No,29,3,36,5,3,Yes,No
30,3,8,30,5,Yes,18,2,24,48,4,Yes,No
30,1,6,30,2,No,49,3,37,98,6,Yes,No
41,3,21,30,7,Yes,20,3,20,38,7,Yes,No
41,4,7,40,5,Yes,45,1,17,95,6,Yes,No
19,1,1,30,6,Yes,49,2,9,73,7,Yes,No
40,3,20,30,1,Yes,18,2,12,4,9,Yes,No
35,5,10,30,6,Yes,48,3,14,97,2,Yes,No
53,2,13,40,8,Yes,51,2,5,79,5,Yes,No
45,3,20,30,8,Yes,47,1,9,46,9,Yes,No
32,3,9,30,6,Yes,50,1,18,64,3,Yes,No
29,1,10,30,6,Yes,40,1,4,99,5,Yes,No
51,4,10,30,6,Yes,59,3,16,22,6,Yes,No
58,3,9,40,6,Yes,31,3,30,71,4,Yes,No
40,4,15,30,2,Yes,26,2,1,59,4,Yes,No
34,4,6,30,6,Yes,24,3,4,35,3,Yes,No
22,1,2,40,9,Yes,33,1,9,77,7,Yes,No
27,3,6,30,6,Yes,34,1,33,16,1,Yes,No
28,3,5,30,2,Yes,59,1,21,61,7,Yes,No
57,2,12,30,3,Yes,53,3,10,31,6,Yes,No
27,3,1,30,4,Yes,42,2,34,97,6,Yes,No
50,3,21,30,1,Yes,29,3,19,11,5,Yes,No
41,3,13,30,2,Yes,52,1,7,48,6,Yes,No
30,3,12,30,4,Yes,44,1,0,42,1,Yes,No
38,4,12,40,7,Yes,36,1,39,15,3,Yes,No
32,5,8,40,1,Yes,19,1,22,37,1,Yes,No
27,3,6,30,9,No,54,1,13,60,1,Yes,No
19,1,1,40,1,No,33,1,34,72,6,Yes,No
36,2,13,30,4,Yes,34,3,12,67,8,Yes,No
30,3,12,30,7,Yes,42,1,28,46,9,Yes,No
45,2,9,30,1,Yes,52,1,23,82,2,Yes,No
56,3,19,30,6,Yes,42,3,16,14,2,Yes,No
33,3,4,30,2,No,25,3,38,15,3,Yes,No
19,3,1,40,4,Yes,32,2,22,45,2,Yes,No
46,2,24,40,3,Yes,51,3,0,63,5,Yes,No
38,2,2,30,1,Yes,59,1,31,9,5,Yes,No
31,1,7,40,4,Yes,18,3,15,72,4,Yes,No
34,2,9,30,3,Yes,46,2,25,58,9,Yes,No
41,2,4,40,2,Yes,37,3,30,97,3,Yes,No
50,3,5,30,3,Yes,35,2,27,59,8,Yes,No
53,2,5,30,4,Yes,30,1,36,8,2,Yes,No
33,3,8,30,1,Yes,39,1,12,32,6,Yes,No
40,1,21,30,6,Yes,21,1,33,61,9,Yes,No
55,4,36,30,1,Yes,39,3,19,44,7,Yes,No
34,1,10,30,2,Yes,30,3,12,34,4,Yes,No
51,3,21,30,1,Yes,59,3,9,28,7,Yes,No
52,4,34,30,7,No,57,3,6,73,1,Yes,No
27,3,7,30,6,Yes,46,2,15,27,1,Yes,No
35,2,8,30,4,Yes,45,3,23,11,1,Yes,No
43,3,7,30,8,Yes,51,3,10,70,5,Yes,No
45,2,22,40,7,Yes,57,3,11,6,9,Yes,No
37,3,8,30,1,Yes,19,3,36,45,5,Yes,No
35,3,10,30,1,Yes,57,3,35,62,6,Yes,No
42,2,11,30,4,Yes,49,1,21,85,9,Yes,No
38,4,14,30,5,Yes,43,2,21,29,2,Yes,No
38,3,9,30,5,Yes,56,1,11,77,5,Yes,No
27,1,6,30,9,Yes,27,2,27,63,4,Yes,No
49,4,7,30,4,Yes,19,3,3,81,2,Yes,No
34,4,5,30,6,Yes,56,1,10,71,9,Yes,No
40,2,15,30,4,Yes,47,1,19,66,6,Yes,No
38,1,17,30,1,Yes,43,3,30,69,6,Yes,No
29,3,10,40,1,Yes,49,2,12,66,1,Yes,No
22,3,4,30,7,Yes,37,2,20,95,2,Yes,No
36,1,8,30,3,Yes,27,3,7,76,6,Yes,No
40,5,5,30,3,Yes,23,1,4,30,9,Yes,No
46,4,17,30,6,Yes,57,3,11,58,8,Yes,No
32,4,14,30,5,Yes,25,2,34,82,8,Yes,No
30,1,12,40,2,Yes,23,2,5,66,4,Yes,No
27,3,7,30,2,Yes,43,3,39,64,5,Yes,No
51,4,16,30,2,Yes,22,1,23,48,8,Yes,No
30,3,8,30,6,Yes,38,2,30,44,8,Yes,No
41,3,16,30,9,Yes,21,1,3,74,4,Yes,No
30,4,9,30,3,Yes,48,3,32,31,8,Yes,No
29,3,7,30,6,No,50,2,29,6,2,Yes,No
45,3,23,30,7,Yes,48,1,37,55,7,Yes,No
54,3,16,30,2,Yes,56,2,35,72,9,Yes,No
36,2,16,30,1,Yes,36,2,36,12,9,Yes,No
33,4,7,40,5,Yes,24,3,0,89,1,Yes,No
37,3,10,30,5,Yes,44,2,39,32,2,Yes,No
38,3,17,30,4,No,19,3,34,57,2,Yes,No
31,4,6,30,1,No,56,3,30,33,1,Yes,No
59,3,7,30,7,Yes,57,2,4,46,9,Yes,No
37,4,13,30,3,Yes,24,1,3,41,9,Yes,No
29,1,11,30,8,Yes,28,1,2,45,4,Yes,No
35,3,10,30,7,Yes,23,3,26,77,6,Yes,No
29,1,4,30,1,Yes,33,3,20,55,3,Yes,No
52,3,6,30,2,Yes,19,1,10,87,5,Yes,No
42,2,22,30,2,Yes,57,2,16,49,9,Yes,No
59,2,7,30,9,Yes,48,3,37,5,3,Yes,No
50,4,32,30,5,Yes,34,1,39,46,6,Yes,No
33,3,8,30,8,Yes,40,3,27,8,3,Yes,No
43,3,22,40,4,Yes,55,2,14,84,4,Yes,No
33,2,13,40,6,Yes,36,2,19,98,7,Yes,No
52,4,33,30,5,Yes,37,1,1,59,4,Yes,No
32,2,6,30,4,Yes,26,3,12,89,7,Yes,No
32,3,4,30,7,No,53,1,24,68,8,Yes,No
39,4,7,30,7,Yes,19,2,28,69,4,Yes,No
32,4,4,30,6,No,27,3,36,2,8,Yes,No
41,2,17,30,1,Yes,54,3,31,41,3,Yes,No
40,2,9,30,1,Yes,26,1,13,41,5,Yes,Yes
45,3,25,30,9,No,58,1,23,10,8,Yes,No
31,4,9,30,9,Yes,23,1,31,66,8,Yes,No
33,4,2,30,6,Yes,56,2,36,10,1,Yes,No
34,4,13,30,6,Yes,36,3,27,2,8,Yes,No
37,2,17,30,1,Yes,39,3,18,84,6,Yes,No
45,4,9,30,9,Yes,33,1,4,27,5,Yes,No
37,3,17,30,3,Yes,21,3,39,53,1,Yes,No
39,4,20,40,8,No,25,1,32,60,1,Yes,No
29,3,6,30,7,Yes,48,2,0,72,7,Yes,No
42,2,10,30,7,Yes,32,3,22,39,9,Yes,No
29,2,10,30,7,Yes,26,3,32,48,9,Yes,No
25,3,5,30,4,No,26,3,25,99,4,Yes,No
42,3,10,30,9,No,49,2,26,89,9,Yes,No
40,2,22,30,4,No,25,3,8,76,6,Yes,No
51,3,1,30,4,Yes,34,3,32,37,8,Yes,No
31,2,6,30,2,No,55,3,28,84,3,Yes,No
32,3,5,40,9,Yes,59,3,34,68,7,Yes,No
38,2,13,30,7,Yes,42,1,32,35,4,Yes,No
32,1,9,30,5,Yes,40,3,22,79,3,Yes,No
46,3,28,30,5,Yes,20,3,25,22,5,Yes,No
28,4,5,30,6,Yes,47,3,25,30,3,Yes,No
29,3,10,30,9,Yes,23,3,16,3,5,Yes,No
31,3,10,40,1,No,29,3,6,79,1,Yes,No
25,2,6,30,1,Yes,50,1,28,69,2,Yes,Yes
45,2,21,30,2,No,51,2,17,3,1,Yes,No
36,3,16,30,1,No,21,1,8,6,8,Yes,No
55,3,37,30,4,No,36,1,17,43,4,Yes,No
47,4,10,30,6,Yes,20,3,29,12,7,Yes,No
28,3,5,40,7,Yes,45,3,34,62,2,Yes,No
37,4,7,30,9,Yes,37,1,36,85,1,Yes,No
21,2,3,30,3,Yes,42,3,1,38,4,Yes,No
37,4,15,30,2,Yes,24,2,30,68,3,Yes,No
35,3,10,30,2,Yes,28,2,6,39,7,Yes,No
38,2,8,40,6,Yes,40,1,3,45,3,Yes,No
26,3,6,40,2,Yes,52,2,15,46,1,Yes,No
50,1,28,30,7,Yes,41,1,31,32,1,Yes,No
53,4,21,30,3,Yes,22,3,13,9,9,Yes,No
42,1,20,40,8,Yes,31,1,34,50,7,Yes,Yes
29,2,10,30,2,Yes,45,1,9,27,2,Yes,No
55,2,12,30,6,Yes,49,3,13,52,5,Yes,No
26,2,5,30,3,Yes,55,2,21,15,9,Yes,No
37,3,17,30,9,Yes,53,2,19,69,8,Yes,No
44,3,19,40,3,Yes,31,3,4,66,5,Yes,No
38,4,10,30,6,Yes,49,3,38,35,7,Yes,No
26,4,5,30,6,Yes,35,3,25,74,1,Yes,No
28,2,5,40,8,Yes,49,3,24,14,2,Yes,No
49,4,22,30,4,Yes,19,2,11,98,6,Yes,No
36,3,10,30,8,Yes,28,2,4,62,5,Yes,No
31,3,2,30,9,Yes,22,3,14,63,3,Yes,No
26,4,8,30,6,Yes,23,1,20,65,3,Yes,No
37,3,4,30,5,Yes,32,1,39,71,1,Yes,No
42,3,23,30,5,Yes,51,1,15,82,5,Yes,No
18,3,0,30,9,Yes,39,1,5,36,7,Yes,No
35,3,12,30,7,No,22,2,24,23,1,Yes,No
36,4,4,30,2,Yes,35,3,24,88,7,Yes,Yes
51,3,13,30,7,Yes,54,1,1,23,6,Yes,No
41,4,22,30,9,Yes,32,2,36,86,9,Yes,No
18,3,0,30,1,Yes,45,1,13,28,9,Yes,No
28,2,9,30,8,No,24,1,6,69,5,Yes,No
31,3,10,30,2,Yes,51,2,30,34,9,Yes,No
39,3,19,30,2,No,18,1,34,11,8,Yes,No
36,4,11,30,3,Yes,41,2,23,80,7,Yes,No
32,3,13,30,1,Yes,37,3,39,33,4,Yes,No
38,2,19,30,1,Yes,46,3,19,52,3,Yes,No
58,4,12,30,2,Yes,53,3,25,21,4,Yes,No
31,4,6,30,3,No,33,1,15,3,9,Yes,No
31,3,9,30,8,Yes,20,2,29,62,4,Yes,No
45,3,24,30,6,Yes,49,3,0,10,7,Yes,No
31,4,3,30,2,No,46,3,30,7,7,Yes,No
33,4,12,30,3,Yes,21,2,32,7,7,Yes,No
39,1,21,30,1,Yes,33,3,20,10,6,Yes,No
43,4,9,30,4,No,31,1,24,63,8,Yes,Yes
49,2,25,30,3,Yes,52,2,21,30,2,Yes,No
52,4,11,30,7,Yes,27,1,14,97,9,Yes,No
27,3,4,30,1,Yes,45,1,16,83,6,Yes,No
32,2,13,30,1,Yes,38,1,38,19,6,Yes,No
27,3,5,30,3,Yes,36,1,28,32,7,Yes,No
31,3,13,30,5,Yes,52,3,0,72,8,Yes,No
32,4,10,30,6,Yes,52,1,0,69,5,Yes,No
28,4,5,30,9,Yes,36,1,13,17,5,Yes,No
31,2,10,40,2,Yes,33,1,1,56,1,Yes,No
39,2,21,30,3,Yes,55,3,16,60,1,Yes,No
39,2,12,30,6,Yes,18,2,1,68,7,Yes,No
33,3,9,30,8,Yes,42,3,32,30,6,Yes,No
47,5,21,30,3,Yes,26,2,11,89,8,Yes,No
43,4,9,30,1,Yes,28,3,16,2,2,Yes,No
27,1,6,30,3,No,49,1,21,3,4,Yes,No
54,4,20,30,7,Yes,45,2,23,94,2,Yes,No
43,3,10,30,9,Yes,20,2,10,54,2,Yes,No
45,4,12,30,4,Yes,54,1,20,20,4,Yes,No
40,2,6,40,9,Yes,35,2,31,55,4,Yes,No
29,4,7,30,1,Yes,57,1,30,78,2,Yes,No
29,5,4,30,9,No,27,3,23,3,2,Yes,No
30,3,10,30,6,Yes,39,3,17,73,7,Yes,No
27,4,8,30,5,Yes,54,1,20,90,3,Yes,No
37,2,8,30,7,Yes,40,3,31,14,7,Yes,No
38,2,12,30,4,No,41,2,25,12,5,Yes,No
31,4,11,30,4,Yes,25,2,12,13,2,Yes,Yes
29,1,7,30,1,Yes,35,1,6,3,7,Yes,No
35,4,17,30,9,No,20,3,18,27,8,Yes,No
23,1,4,30,2,Yes,43,1,37,56,4,Yes,No
41,3,8,30,3,Yes,55,2,3,54,6,Yes,No
47,1,5,30,2,Yes,31,1,5,8,2,Yes,No
42,5,16,30,2,Yes,27,2,25,31,8,Yes,No
29,3,4,30,2,Yes,52,3,34,5,1,Yes,No
42,1,4,30,5,No,47,3,36,14,7,Yes,No
32,3,8,30,7,Yes,23,3,0,72,2,Yes,No
48,1,15,40,5,Yes,57,2,39,88,9,Yes,No
37,3,13,30,5,Yes,51,1,15,72,9,Yes,No
30,2,4,30,7,Yes,46,3,4,9,9,Yes,No
26,3,8,30,7,Yes,20,3,14,99,4,Yes,No
42,4,14,40,8,Yes,53,3,35,29,9,Yes,No
21,1,3,30,3,Yes,33,1,34,98,7,Yes,No
36,5,7,30,9,Yes,55,3,10,41,6,Yes,No
36,4,16,30,8,Yes,35,2,21,36,6,Yes,No
57,4,15,30,5,Yes,42,1,36,44,5,Yes,No
40,4,10,30,2,Yes,57,3,18,38,6,Yes,No
21,2,3,40,4,Yes,43,1,25,97,9,Yes,No
33,3,1,30,9,Yes,59,3,1,89,6,Yes,No
37,3,17,40,1,Yes,44,3,0,62,6,Yes,No
46,4,7,30,9,Yes,50,2,1,68,9,Yes,No
41,3,8,30,2,Yes,56,3,4,26,8,Yes,No
50,3,20,30,2,Yes,40,3,23,56,5,Yes,No
40,2,8,30,1,Yes,49,1,31,39,4,Yes,No
31,4,3,30,7,No,45,1,16,98,5,Yes,No
21,3,1,30,2,Yes,22,1,21,62,1,Yes,No
29,3,6,30,5,Yes,28,2,19,77,4,Yes,No
35,4,10,30,3,Yes,45,3,31,96,2,Yes,No
27,2,5,30,7,Yes,36,3,28,9,3,Yes,No
28,4,7,30,4,Yes,26,1,13,9,2,Yes,No
49,3,26,40,9,Yes,41,2,38,70,8,Yes,No
51,2,18,30,9,Yes,53,1,28,10,3,Yes,No
36,3,6,30,7,Yes,28,2,18,74,1,Yes,No
34,3,9,30,1,Yes,30,1,36,23,9,Yes,No
55,3,30,30,8,Yes,25,2,15,88,1,Yes,No
24,4,5,30,8,Yes,52,1,0,47,2,Yes,No
30,1,1,30,7,Yes,56,3,14,33,3,Yes,No
26,1,7,40,7,No,48,1,30,44,5,Yes,No
22,3,2,30,6,Yes,28,2,26,97,3,Yes,No
36,2,10,30,6,Yes,25,2,2,27,6,Yes,No
30,3,3,40,6,Yes,27,2,31,96,5,Yes,No
37,3,18,30,2,Yes,27,3,14,3,8,Yes,No
40,2,8,30,4,Yes,18,2,21,82,5,Yes,No
42,4,8,30,1,Yes,33,3,30,3,4,Yes,No
37,4,18,30,2,Yes,41,1,26,92,5,Yes,No
43,3,25,30,5,Yes,50,2,39,83,7,Yes,No
40,3,20,40,5,Yes,51,2,9,39,5,Yes,No
54,2,24,30,2,Yes,33,3,37,70,8,Yes,No
34,4,6,30,3,Yes,57,1,3,96,4,Yes,No
31,2,13,30,5,Yes,28,3,4,21,4,Yes,No
43,3,8,40,4,Yes,41,1,11,33,2,Yes,Yes
43,4,8,30,1,Yes,57,2,5,3,5,Yes,No
25,2,5,30,5,Yes,20,2,25,41,6,Yes,No
37,5,15,30,3,Yes,19,1,28,74,2,Yes,No
31,2,4,30,1,Yes,22,3,33,54,2,Yes,No
39,1,21,30,4,Yes,55,1,21,73,8,Yes,No
56,3,36,30,2,Yes,25,2,28,6,6,Yes,No
30,3,6,30,8,No,54,2,36,51,5,Yes,No
41,3,10,30,3,Yes,42,2,36,86,7,Yes,No
28,2,10,30,5,Yes,29,3,6,80,1,Yes,No
25,3,6,30,2,Yes,25,2,31,29,1,Yes,No
52,3,28,30,3,Yes,54,2,4,70,1,Yes,No
45,2,8,40,4,Yes,20,3,31,80,9,Yes,No
52,2,31,30,9,Yes,44,3,30,29,3,Yes,No
42,2,19,30,1,Yes,47,1,34,31,4,Yes,No
30,3,11,40,4,Yes,33,1,30,75,7,Yes,No
60,3,33,30,4,Yes,37,2,9,43,6,Yes,No
46,3,19,30,8,Yes,56,2,2,55,7,Yes,No
42,4,7,30,7,No,40,2,36,43,2,Yes,No
24,1,6,30,7,Yes,21,2,37,53,1,Yes,No
34,2,3,30,6,No,34,3,32,45,2,Yes,No
38,2,1,40,4,Yes,32,1,22,31,5,Yes,No
40,4,21,30,8,No,27,2,23,91,5,Yes,No
26,3,3,40,4,Yes,20,2,7,13,4,Yes,No
30,3,9,30,6,Yes,31,1,15,10,6,Yes,No
29,4,10,30,4,Yes,45,2,25,79,3,Yes,No
29,5,6,30,9,Yes,49,2,5,48,2,Yes,No
19,2,1,30,3,Yes,38,3,21,17,5,Yes,No
30,4,10,30,8,No,37,2,5,54,1,Yes,No
57,3,32,30,7,Yes,41,2,15,13,1,Yes,No
50,4,28,30,5,No,34,3,14,27,7,Yes,No
60,3,22,30,5,Yes,28,1,24,95,5,Yes,No
47,2,20,30,6,Yes,39,1,33,89,4,Yes,No
46,3,26,30,5,Yes,37,3,9,93,2,Yes,No
35,3,6,30,7,No,37,2,29,49,1,Yes,No
54,4,19,30,5,Yes,55,2,31,21,3,Yes,No
34,4,14,30,3,Yes,46,2,5,41,7,Yes,No
46,3,15,30,5,Yes,37,3,17,82,6,Yes,No
31,1,13,40,4,Yes,22,3,5,46,9,Yes,No
33,1,15,30,1,Yes,58,3,1,59,8,Yes,No
33,1,8,30,8,Yes,47,2,6,23,7,Yes,No
30,1,4,30,6,No,22,2,29,97,6,Yes,No
35,3,10,30,3,Yes,58,2,4,86,4,Yes,No
31,3,12,30,3,Yes,26,1,19,8,8,Yes,No
34,3,11,30,3,Yes,28,1,19,42,1,Yes,No
42,2,8,30,9,Yes,42,2,34,66,4,Yes,No
36,4,10,30,5,Yes,24,2,15,74,8,Yes,No
22,1,4,30,1,Yes,28,1,21,26,9,Yes,No
48,5,14,30,5,Yes,43,3,6,40,5,Yes,No
55,5,37,40,6,Yes,37,1,35,47,9,Yes,No
41,2,16,30,3,Yes,23,1,16,34,8,Yes,No
35,3,15,30,7,Yes,42,3,33,64,6,Yes,No
40,3,22,30,4,Yes,59,3,7,73,3,Yes,No
39,1,8,30,5,Yes,22,1,11,20,8,Yes,No
31,1,10,30,1,Yes,39,1,1,53,3,Yes,No
42,3,10,40,8,Yes,50,2,27,49,7,Yes,No
45,3,9,30,7,No,58,3,24,45,1,Yes,No
26,4,8,30,5,No,54,3,7,78,2,Yes,No
29,3,8,30,8,Yes,44,3,36,5,6,Yes,No
33,5,10,30,4,Yes,27,2,8,31,3,Yes,No
31,3,10,40,5,Yes,58,2,14,12,2,Yes,No
40,3,20,30,8,Yes,56,1,17,74,8,Yes,No
41,4,10,30,7,Yes,35,3,23,6,1,Yes,No
26,2,8,30,9,Yes,31,3,36,14,6,Yes,Yes
35,3,5,30,9,Yes,58,3,1,18,1,Yes,No
34,4,10,30,5,Yes,53,1,30,72,9,Yes,No
26,3,1,30,4,Yes,25,1,9,30,6,Yes,No
37,3,12,30,8,Yes,30,3,23,91,1,Yes,No
